"Date Printed: Tuesday, November 14, 2023 1:25:46 PM",,,,,,,,,
"Title: ""Chlamydia | Gonorrhea | HIV diagnoses | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+""""",,,,,,,,,
Footnote(s): Data for 2022 and 2023 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,
The 'Sex' column is used for either sex at birth or gender identity.,,,,,,,,,
NA - Not applicable.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
HIV diagnoses,2018,Virginia,51,13-24,All races/ethnicities,Female,27,4.2,"647,431"
HIV diagnoses,2018,Virginia,51,55+,All races/ethnicities,Male,64,5.7,"1,115,770"
HIV diagnoses,2018,Virginia,51,45-54,All races/ethnicities,Male,72,13,"551,760"
HIV diagnoses,2018,Virginia,51,35-44,All races/ethnicities,Male,115,21,"548,911"
HIV diagnoses,2018,Virginia,51,25-34,All races/ethnicities,Male,268,44.6,"601,488"
HIV diagnoses,2018,Virginia,51,13-24,All races/ethnicities,Male,169,24.8,"682,589"
Gonorrhea,2021,Washington,53,55+,All races/ethnicities,Female,74,6.4,"1,155,336"
Gonorrhea,2021,Washington,53,45-54,All races/ethnicities,Female,235,51.4,"457,592"
Gonorrhea,2021,Washington,53,35-44,All races/ethnicities,Female,731,137.3,"532,219"
Gonorrhea,2021,Washington,53,25-34,All races/ethnicities,Female,"1,472",261.1,"563,746"
Gonorrhea,2021,Washington,53,13-24,All races/ethnicities,Female,"1,595",290.2,"549,597"
Gonorrhea,2021,Washington,53,55+,All races/ethnicities,Male,324,30.8,"1,053,068"
Gonorrhea,2021,Washington,53,45-54,All races/ethnicities,Male,678,142.7,"475,111"
Gonorrhea,2021,Washington,53,35-44,All races/ethnicities,Male,"1,645",292.1,"563,085"
Gonorrhea,2021,Washington,53,25-34,All races/ethnicities,Male,"2,859",469,"609,639"
Gonorrhea,2021,Washington,53,13-24,All races/ethnicities,Male,"1,537",262.4,"585,705"
Gonorrhea,2020 (COVID-19 Pandemic),Washington,53,55+,All races/ethnicities,Female,59,5.2,"1,143,190"
Gonorrhea,2020 (COVID-19 Pandemic),Washington,53,45-54,All races/ethnicities,Female,218,47.5,"458,860"
Gonorrhea,2020 (COVID-19 Pandemic),Washington,53,35-44,All races/ethnicities,Female,745,142.7,"522,019"
Gonorrhea,2020 (COVID-19 Pandemic),Washington,53,25-34,All races/ethnicities,Female,"1,564",276.6,"565,516"
Gonorrhea,2020 (COVID-19 Pandemic),Washington,53,13-24,All races/ethnicities,Female,"1,855",338.3,"548,327"
Gonorrhea,2020 (COVID-19 Pandemic),Washington,53,55+,All races/ethnicities,Male,329,31.6,"1,042,002"
Gonorrhea,2020 (COVID-19 Pandemic),Washington,53,45-54,All races/ethnicities,Male,642,134.7,"476,460"
Gonorrhea,2020 (COVID-19 Pandemic),Washington,53,35-44,All races/ethnicities,Male,"1,634",296.5,"551,095"
Gonorrhea,2020 (COVID-19 Pandemic),Washington,53,25-34,All races/ethnicities,Male,"2,927",479.9,"609,894"
Gonorrhea,2020 (COVID-19 Pandemic),Washington,53,13-24,All races/ethnicities,Male,"1,634",279.5,"584,672"
Gonorrhea,2019,Washington,53,55+,All races/ethnicities,Female,60,5.2,"1,147,412"
Gonorrhea,2019,Washington,53,45-54,All races/ethnicities,Female,211,45.9,"459,316"
Gonorrhea,2019,Washington,53,35-44,All races/ethnicities,Female,628,124.3,"505,087"
Gonorrhea,2019,Washington,53,25-34,All races/ethnicities,Female,"1,522",269.9,"563,850"
Gonorrhea,2019,Washington,53,13-24,All races/ethnicities,Female,"1,757",326.6,"537,978"
Gonorrhea,2019,Washington,53,55+,All races/ethnicities,Male,336,32.9,"1,021,919"
Gonorrhea,2019,Washington,53,45-54,All races/ethnicities,Male,780,167.9,"464,461"
Gonorrhea,2019,Washington,53,35-44,All races/ethnicities,Male,"1,605",306.9,"523,054"
Gonorrhea,2019,Washington,53,25-34,All races/ethnicities,Male,"3,154",518.6,"608,225"
Gonorrhea,2019,Washington,53,13-24,All races/ethnicities,Male,"1,670",290.3,"575,218"
Gonorrhea,2018,Washington,53,55+,All races/ethnicities,Female,52,4.6,"1,122,832"
Gonorrhea,2018,Washington,53,45-54,All races/ethnicities,Female,167,36,"463,915"
Gonorrhea,2018,Washington,53,35-44,All races/ethnicities,Female,573,116.3,"492,619"
Gonorrhea,2018,Washington,53,25-34,All races/ethnicities,Female,"1,447",260.7,"554,951"
Gonorrhea,2018,Washington,53,13-24,All races/ethnicities,Female,"1,678",312.7,"536,602"
Gonorrhea,2018,Washington,53,55+,All races/ethnicities,Male,355,35.5,"999,868"
Gonorrhea,2018,Washington,53,45-54,All races/ethnicities,Male,744,158.8,"468,532"
Gonorrhea,2018,Washington,53,35-44,All races/ethnicities,Male,"1,514",297.4,"509,013"
Gonorrhea,2018,Washington,53,25-34,All races/ethnicities,Male,"2,971",498,"596,555"
Gonorrhea,2018,Washington,53,13-24,All races/ethnicities,Male,"1,692",295.2,"573,075"
Chlamydia,2021,Washington,53,55+,All races/ethnicities,Female,105,9.1,"1,155,336"
Chlamydia,2021,Washington,53,45-54,All races/ethnicities,Female,385,84.1,"457,592"
Chlamydia,2021,Washington,53,35-44,All races/ethnicities,Female,"1,319",247.8,"532,219"
Chlamydia,2021,Washington,53,25-34,All races/ethnicities,Female,"5,032",892.6,"563,746"
Chlamydia,2021,Washington,53,13-24,All races/ethnicities,Female,"11,694",2127.7,"549,597"
Chlamydia,2021,Washington,53,55+,All races/ethnicities,Male,297,28.2,"1,053,068"
Chlamydia,2021,Washington,53,45-54,All races/ethnicities,Male,588,123.8,"475,111"
Chlamydia,2021,Washington,53,35-44,All races/ethnicities,Male,"1,547",274.7,"563,085"
Chlamydia,2021,Washington,53,25-34,All races/ethnicities,Male,"3,969",651,"609,639"
Chlamydia,2021,Washington,53,13-24,All races/ethnicities,Male,"4,572",780.6,"585,705"
Chlamydia,2020 (COVID-19 Pandemic),Washington,53,55+,All races/ethnicities,Female,90,7.9,"1,143,190"
Chlamydia,2020 (COVID-19 Pandemic),Washington,53,45-54,All races/ethnicities,Female,346,75.4,"458,860"
Chlamydia,2020 (COVID-19 Pandemic),Washington,53,35-44,All races/ethnicities,Female,"1,248",239.1,"522,019"
Chlamydia,2020 (COVID-19 Pandemic),Washington,53,25-34,All races/ethnicities,Female,"5,222",923.4,"565,516"
Chlamydia,2020 (COVID-19 Pandemic),Washington,53,13-24,All races/ethnicities,Female,"12,547",2288.2,"548,327"
Chlamydia,2020 (COVID-19 Pandemic),Washington,53,55+,All races/ethnicities,Male,276,26.5,"1,042,002"
Chlamydia,2020 (COVID-19 Pandemic),Washington,53,45-54,All races/ethnicities,Male,569,119.4,"476,460"
Chlamydia,2020 (COVID-19 Pandemic),Washington,53,35-44,All races/ethnicities,Male,"1,600",290.3,"551,095"
Chlamydia,2020 (COVID-19 Pandemic),Washington,53,25-34,All races/ethnicities,Male,"4,212",690.6,"609,894"
Chlamydia,2020 (COVID-19 Pandemic),Washington,53,13-24,All races/ethnicities,Male,"4,832",826.4,"584,672"
Chlamydia,2019,Washington,53,55+,All races/ethnicities,Female,104,9.1,"1,147,412"
Chlamydia,2019,Washington,53,45-54,All races/ethnicities,Female,416,90.6,"459,316"
Chlamydia,2019,Washington,53,35-44,All races/ethnicities,Female,"1,521",301.1,"505,087"
Chlamydia,2019,Washington,53,25-34,All races/ethnicities,Female,"6,062",1075.1,"563,850"
Chlamydia,2019,Washington,53,13-24,All races/ethnicities,Female,"15,173",2820.4,"537,978"
Chlamydia,2019,Washington,53,55+,All races/ethnicities,Male,374,36.6,"1,021,919"
Chlamydia,2019,Washington,53,45-54,All races/ethnicities,Male,866,186.5,"464,461"
Chlamydia,2019,Washington,53,35-44,All races/ethnicities,Male,"1,957",374.1,"523,054"
Chlamydia,2019,Washington,53,25-34,All races/ethnicities,Male,"5,181",851.8,"608,225"
Chlamydia,2019,Washington,53,13-24,All races/ethnicities,Male,"5,944",1033.3,"575,218"
Chlamydia,2018,Washington,53,55+,All races/ethnicities,Female,99,8.8,"1,122,832"
Chlamydia,2018,Washington,53,45-54,All races/ethnicities,Female,353,76.1,"463,915"
Chlamydia,2018,Washington,53,35-44,All races/ethnicities,Female,"1,340",272,"492,619"
Chlamydia,2018,Washington,53,25-34,All races/ethnicities,Female,"5,464",984.6,"554,951"
Chlamydia,2018,Washington,53,13-24,All races/ethnicities,Female,"14,159",2638.6,"536,602"
Chlamydia,2018,Washington,53,55+,All races/ethnicities,Male,315,31.5,"999,868"
Chlamydia,2018,Washington,53,45-54,All races/ethnicities,Male,795,169.7,"468,532"
Chlamydia,2018,Washington,53,35-44,All races/ethnicities,Male,"1,746",343,"509,013"
Chlamydia,2018,Washington,53,25-34,All races/ethnicities,Male,"4,753",796.7,"596,555"
Chlamydia,2018,Washington,53,13-24,All races/ethnicities,Male,"5,388",940.2,"573,075"
HIV diagnoses,2021,Washington,53,55+,All races/ethnicities,Female,12,1,"1,155,336"
HIV diagnoses,2021,Washington,53,45-54,All races/ethnicities,Female,20,4.4,"457,592"
HIV diagnoses,2021,Washington,53,35-44,All races/ethnicities,Female,18,3.4,"532,219"
HIV diagnoses,2021,Washington,53,25-34,All races/ethnicities,Female,25,4.4,"563,746"
HIV diagnoses,2021,Washington,53,13-24,All races/ethnicities,Female,9,1.6,"549,597"
HIV diagnoses,2021,Washington,53,55+,All races/ethnicities,Male,37,3.5,"1,053,068"
HIV diagnoses,2021,Washington,53,45-54,All races/ethnicities,Male,65,13.7,"475,111"
HIV diagnoses,2021,Washington,53,35-44,All races/ethnicities,Male,92,16.3,"563,085"
HIV diagnoses,2021,Washington,53,25-34,All races/ethnicities,Male,138,22.6,"609,639"
HIV diagnoses,2021,Washington,53,13-24,All races/ethnicities,Male,45,7.7,"585,705"
HIV diagnoses,2020 (COVID-19 Pandemic),Washington,53,55+,All races/ethnicities,Female,17,1.5,"1,143,190"
HIV diagnoses,2020 (COVID-19 Pandemic),Washington,53,45-54,All races/ethnicities,Female,14,3.1,"458,860"
HIV diagnoses,2020 (COVID-19 Pandemic),Washington,53,35-44,All races/ethnicities,Female,22,4.2,"522,019"
HIV diagnoses,2020 (COVID-19 Pandemic),Washington,53,25-34,All races/ethnicities,Female,18,3.2,"565,516"
HIV diagnoses,2020 (COVID-19 Pandemic),Washington,53,13-24,All races/ethnicities,Female,2,0.4,"548,327"
HIV diagnoses,2020 (COVID-19 Pandemic),Washington,53,55+,All races/ethnicities,Male,40,3.8,"1,042,002"
HIV diagnoses,2020 (COVID-19 Pandemic),Washington,53,45-54,All races/ethnicities,Male,42,8.8,"476,460"
HIV diagnoses,2020 (COVID-19 Pandemic),Washington,53,35-44,All races/ethnicities,Male,78,14.2,"551,095"
HIV diagnoses,2020 (COVID-19 Pandemic),Washington,53,25-34,All races/ethnicities,Male,128,21,"609,894"
HIV diagnoses,2020 (COVID-19 Pandemic),Washington,53,13-24,All races/ethnicities,Male,56,9.6,"584,672"
HIV diagnoses,2019,Washington,53,55+,All races/ethnicities,Female,15,1.3,"1,145,454"
HIV diagnoses,2019,Washington,53,45-54,All races/ethnicities,Female,25,5.4,"458,789"
HIV diagnoses,2019,Washington,53,35-44,All races/ethnicities,Female,30,5.9,"505,749"
HIV diagnoses,2019,Washington,53,25-34,All races/ethnicities,Female,14,2.5,"564,383"
HIV diagnoses,2019,Washington,53,13-24,All races/ethnicities,Female,7,1.3,"538,786"
HIV diagnoses,2019,Washington,53,55+,All races/ethnicities,Male,41,4,"1,020,375"
HIV diagnoses,2019,Washington,53,45-54,All races/ethnicities,Male,51,11,"464,625"
HIV diagnoses,2019,Washington,53,35-44,All races/ethnicities,Male,74,14.1,"524,025"
HIV diagnoses,2019,Washington,53,25-34,All races/ethnicities,Male,168,27.6,"609,518"
HIV diagnoses,2019,Washington,53,13-24,All races/ethnicities,Male,55,9.6,"575,303"
HIV diagnoses,2018,Washington,53,55+,All races/ethnicities,Female,37,3.3,"1,122,139"
HIV diagnoses,2018,Washington,53,45-54,All races/ethnicities,Female,32,6.9,"463,715"
HIV diagnoses,2018,Washington,53,35-44,All races/ethnicities,Female,34,6.9,"493,189"
HIV diagnoses,2018,Washington,53,25-34,All races/ethnicities,Female,19,3.4,"555,864"
HIV diagnoses,2018,Washington,53,13-24,All races/ethnicities,Female,11,2,"537,298"
HIV diagnoses,2018,Washington,53,55+,All races/ethnicities,Male,32,3.2,"999,286"
HIV diagnoses,2018,Washington,53,45-54,All races/ethnicities,Male,50,10.7,"468,624"
HIV diagnoses,2018,Washington,53,35-44,All races/ethnicities,Male,90,17.7,"509,906"
HIV diagnoses,2018,Washington,53,25-34,All races/ethnicities,Male,141,23.6,"597,656"
HIV diagnoses,2018,Washington,53,13-24,All races/ethnicities,Male,51,8.9,"573,034"
Gonorrhea,2021,West Virginia,54,55+,All races/ethnicities,Female,4,1.2,"325,256"
Gonorrhea,2021,West Virginia,54,45-54,All races/ethnicities,Female,21,18.9,"111,212"
Gonorrhea,2021,West Virginia,54,35-44,All races/ethnicities,Female,108,102.4,"105,477"
Gonorrhea,2021,West Virginia,54,25-34,All races/ethnicities,Female,276,267.1,"103,330"
Gonorrhea,2021,West Virginia,54,13-24,All races/ethnicities,Female,Data suppressed,Data suppressed,"126,638"
Gonorrhea,2021,West Virginia,54,55+,All races/ethnicities,Male,36,12.3,"292,958"
Gonorrhea,2021,West Virginia,54,45-54,All races/ethnicities,Male,79,69.2,"114,212"
Gonorrhea,2021,West Virginia,54,35-44,All races/ethnicities,Male,207,190.6,"108,577"
Gonorrhea,2021,West Virginia,54,25-34,All races/ethnicities,Male,311,284,"109,506"
Gonorrhea,2021,West Virginia,54,13-24,All races/ethnicities,Male,Data suppressed,Data suppressed,"135,380"
Gonorrhea,2020 (COVID-19 Pandemic),West Virginia,54,55+,All races/ethnicities,Female,9,2.8,"325,450"
Gonorrhea,2020 (COVID-19 Pandemic),West Virginia,54,45-54,All races/ethnicities,Female,29,25.8,"112,581"
Gonorrhea,2020 (COVID-19 Pandemic),West Virginia,54,35-44,All races/ethnicities,Female,103,97.2,"105,974"
Gonorrhea,2020 (COVID-19 Pandemic),West Virginia,54,25-34,All races/ethnicities,Female,316,306.3,"103,177"
Gonorrhea,2020 (COVID-19 Pandemic),West Virginia,54,13-24,All races/ethnicities,Female,Data suppressed,Data suppressed,"126,141"
Gonorrhea,2020 (COVID-19 Pandemic),West Virginia,54,55+,All races/ethnicities,Male,40,13.7,"292,886"
Gonorrhea,2020 (COVID-19 Pandemic),West Virginia,54,45-54,All races/ethnicities,Male,90,77.6,"115,943"
Gonorrhea,2020 (COVID-19 Pandemic),West Virginia,54,35-44,All races/ethnicities,Male,183,168,"108,935"
Gonorrhea,2020 (COVID-19 Pandemic),West Virginia,54,25-34,All races/ethnicities,Male,342,313.3,"109,175"
Gonorrhea,2020 (COVID-19 Pandemic),West Virginia,54,13-24,All races/ethnicities,Male,Data suppressed,Data suppressed,"134,688"
Gonorrhea,2019,West Virginia,54,55+,All races/ethnicities,Female,4,1.2,"330,690"
Gonorrhea,2019,West Virginia,54,45-54,All races/ethnicities,Female,31,27.1,"114,241"
Gonorrhea,2019,West Virginia,54,35-44,All races/ethnicities,Female,120,112.9,"106,301"
Gonorrhea,2019,West Virginia,54,25-34,All races/ethnicities,Female,310,298.5,"103,862"
Gonorrhea,2019,West Virginia,54,13-24,All races/ethnicities,Female,369,295.5,"124,886"
Gonorrhea,2019,West Virginia,54,55+,All races/ethnicities,Male,43,14.8,"291,047"
Gonorrhea,2019,West Virginia,54,45-54,All races/ethnicities,Male,92,80,"115,010"
Gonorrhea,2019,West Virginia,54,35-44,All races/ethnicities,Male,207,192.6,"107,501"
Gonorrhea,2019,West Virginia,54,25-34,All races/ethnicities,Male,371,336.8,"110,142"
Gonorrhea,2019,West Virginia,54,13-24,All races/ethnicities,Male,220,165,"133,313"
Gonorrhea,2018,West Virginia,54,55+,All races/ethnicities,Female,5,1.5,"328,909"
Gonorrhea,2018,West Virginia,54,45-54,All races/ethnicities,Female,11,9.4,"116,941"
Gonorrhea,2018,West Virginia,54,35-44,All races/ethnicities,Female,63,58.5,"107,744"
Gonorrhea,2018,West Virginia,54,25-34,All races/ethnicities,Female,207,198,"104,563"
Gonorrhea,2018,West Virginia,54,13-24,All races/ethnicities,Female,254,201,"126,386"
Gonorrhea,2018,West Virginia,54,55+,All races/ethnicities,Male,25,8.6,"289,290"
Gonorrhea,2018,West Virginia,54,45-54,All races/ethnicities,Male,35,29.8,"117,355"
Gonorrhea,2018,West Virginia,54,35-44,All races/ethnicities,Male,89,81.8,"108,788"
Gonorrhea,2018,West Virginia,54,25-34,All races/ethnicities,Male,237,214.9,"110,298"
Gonorrhea,2018,West Virginia,54,13-24,All races/ethnicities,Male,214,158.8,"134,734"
Chlamydia,2021,West Virginia,54,55+,All races/ethnicities,Female,12,3.7,"325,256"
Chlamydia,2021,West Virginia,54,45-54,All races/ethnicities,Female,45,40.5,"111,212"
Chlamydia,2021,West Virginia,54,35-44,All races/ethnicities,Female,162,153.6,"105,477"
Chlamydia,2021,West Virginia,54,25-34,All races/ethnicities,Female,785,759.7,"103,330"
Chlamydia,2021,West Virginia,54,13-24,All races/ethnicities,Female,"2,612",2062.6,"126,638"
Chlamydia,2021,West Virginia,54,55+,All races/ethnicities,Male,23,7.9,"292,958"
Chlamydia,2021,West Virginia,54,45-54,All races/ethnicities,Male,53,46.4,"114,212"
Chlamydia,2021,West Virginia,54,35-44,All races/ethnicities,Male,166,152.9,"108,577"
Chlamydia,2021,West Virginia,54,25-34,All races/ethnicities,Male,496,452.9,"109,506"
Chlamydia,2021,West Virginia,54,13-24,All races/ethnicities,Male,866,639.7,"135,380"
Chlamydia,2020 (COVID-19 Pandemic),West Virginia,54,55+,All races/ethnicities,Female,3,0.9,"325,450"
Chlamydia,2020 (COVID-19 Pandemic),West Virginia,54,45-54,All races/ethnicities,Female,51,45.3,"112,581"
Chlamydia,2020 (COVID-19 Pandemic),West Virginia,54,35-44,All races/ethnicities,Female,174,164.2,"105,974"
Chlamydia,2020 (COVID-19 Pandemic),West Virginia,54,25-34,All races/ethnicities,Female,836,810.3,"103,177"
Chlamydia,2020 (COVID-19 Pandemic),West Virginia,54,13-24,All races/ethnicities,Female,"2,657",2106.4,"126,141"
Chlamydia,2020 (COVID-19 Pandemic),West Virginia,54,55+,All races/ethnicities,Male,18,6.1,"292,886"
Chlamydia,2020 (COVID-19 Pandemic),West Virginia,54,45-54,All races/ethnicities,Male,48,41.4,"115,943"
Chlamydia,2020 (COVID-19 Pandemic),West Virginia,54,35-44,All races/ethnicities,Male,184,168.9,"108,935"
Chlamydia,2020 (COVID-19 Pandemic),West Virginia,54,25-34,All races/ethnicities,Male,523,479,"109,175"
Chlamydia,2020 (COVID-19 Pandemic),West Virginia,54,13-24,All races/ethnicities,Male,931,691.2,"134,688"
Chlamydia,2019,West Virginia,54,55+,All races/ethnicities,Female,9,2.7,"330,690"
Chlamydia,2019,West Virginia,54,45-54,All races/ethnicities,Female,30,26.3,"114,241"
Chlamydia,2019,West Virginia,54,35-44,All races/ethnicities,Female,172,161.8,"106,301"
Chlamydia,2019,West Virginia,54,25-34,All races/ethnicities,Female,757,728.9,"103,862"
Chlamydia,2019,West Virginia,54,13-24,All races/ethnicities,Female,"2,591",2074.7,"124,886"
Chlamydia,2019,West Virginia,54,55+,All races/ethnicities,Male,24,8.2,"291,047"
Chlamydia,2019,West Virginia,54,45-54,All races/ethnicities,Male,58,50.4,"115,010"
Chlamydia,2019,West Virginia,54,35-44,All races/ethnicities,Male,172,160,"107,501"
Chlamydia,2019,West Virginia,54,25-34,All races/ethnicities,Male,548,497.5,"110,142"
Chlamydia,2019,West Virginia,54,13-24,All races/ethnicities,Male,977,732.9,"133,313"
Chlamydia,2018,West Virginia,54,55+,All races/ethnicities,Female,8,2.4,"328,909"
Chlamydia,2018,West Virginia,54,45-54,All races/ethnicities,Female,19,16.2,"116,941"
Chlamydia,2018,West Virginia,54,35-44,All races/ethnicities,Female,87,80.7,"107,744"
Chlamydia,2018,West Virginia,54,25-34,All races/ethnicities,Female,498,476.3,"104,563"
Chlamydia,2018,West Virginia,54,13-24,All races/ethnicities,Female,"1,761",1393.4,"126,386"
Chlamydia,2018,West Virginia,54,55+,All races/ethnicities,Male,11,3.8,"289,290"
Chlamydia,2018,West Virginia,54,45-54,All races/ethnicities,Male,21,17.9,"117,355"
Chlamydia,2018,West Virginia,54,35-44,All races/ethnicities,Male,81,74.5,"108,788"
Chlamydia,2018,West Virginia,54,25-34,All races/ethnicities,Male,392,355.4,"110,298"
Chlamydia,2018,West Virginia,54,13-24,All races/ethnicities,Male,719,533.6,"134,734"
HIV diagnoses,2021,West Virginia,54,55+,All races/ethnicities,Female,1,0.3,"325,256"
HIV diagnoses,2021,West Virginia,54,45-54,All races/ethnicities,Female,8,7.2,"111,212"
HIV diagnoses,2021,West Virginia,54,35-44,All races/ethnicities,Female,11,10.4,"105,477"
HIV diagnoses,2021,West Virginia,54,25-34,All races/ethnicities,Female,26,25.2,"103,330"
HIV diagnoses,2021,West Virginia,54,13-24,All races/ethnicities,Female,5,3.9,"126,638"
HIV diagnoses,2021,West Virginia,54,55+,All races/ethnicities,Male,13,4.4,"292,958"
HIV diagnoses,2021,West Virginia,54,45-54,All races/ethnicities,Male,11,9.6,"114,212"
HIV diagnoses,2021,West Virginia,54,35-44,All races/ethnicities,Male,34,31.3,"108,577"
HIV diagnoses,2021,West Virginia,54,25-34,All races/ethnicities,Male,34,31,"109,506"
HIV diagnoses,2021,West Virginia,54,13-24,All races/ethnicities,Male,6,4.4,"135,380"
HIV diagnoses,2020 (COVID-19 Pandemic),West Virginia,54,55+,All races/ethnicities,Female,2,0.6,"325,450"
HIV diagnoses,2020 (COVID-19 Pandemic),West Virginia,54,45-54,All races/ethnicities,Female,8,7.1,"112,581"
HIV diagnoses,2020 (COVID-19 Pandemic),West Virginia,54,35-44,All races/ethnicities,Female,16,15.1,"105,974"
HIV diagnoses,2020 (COVID-19 Pandemic),West Virginia,54,25-34,All races/ethnicities,Female,24,23.3,"103,177"
HIV diagnoses,2020 (COVID-19 Pandemic),West Virginia,54,13-24,All races/ethnicities,Female,1,0.8,"126,141"
HIV diagnoses,2020 (COVID-19 Pandemic),West Virginia,54,55+,All races/ethnicities,Male,4,1.4,"292,886"
HIV diagnoses,2020 (COVID-19 Pandemic),West Virginia,54,45-54,All races/ethnicities,Male,11,9.5,"115,943"
HIV diagnoses,2020 (COVID-19 Pandemic),West Virginia,54,35-44,All races/ethnicities,Male,35,32.1,"108,935"
HIV diagnoses,2020 (COVID-19 Pandemic),West Virginia,54,25-34,All races/ethnicities,Male,36,33,"109,175"
HIV diagnoses,2020 (COVID-19 Pandemic),West Virginia,54,13-24,All races/ethnicities,Male,3,2.2,"134,688"
HIV diagnoses,2019,West Virginia,54,55+,All races/ethnicities,Female,3,0.9,"331,089"
HIV diagnoses,2019,West Virginia,54,45-54,All races/ethnicities,Female,7,6.1,"114,284"
HIV diagnoses,2019,West Virginia,54,35-44,All races/ethnicities,Female,16,15,"106,474"
HIV diagnoses,2019,West Virginia,54,25-34,All races/ethnicities,Female,24,23,"104,282"
HIV diagnoses,2019,West Virginia,54,13-24,All races/ethnicities,Female,5,4,"125,256"
HIV diagnoses,2019,West Virginia,54,55+,All races/ethnicities,Male,10,3.4,"290,965"
HIV diagnoses,2019,West Virginia,54,45-54,All races/ethnicities,Male,15,13,"115,022"
HIV diagnoses,2019,West Virginia,54,35-44,All races/ethnicities,Male,21,19.5,"107,657"
HIV diagnoses,2019,West Virginia,54,25-34,All races/ethnicities,Male,35,31.6,"110,673"
HIV diagnoses,2019,West Virginia,54,13-24,All races/ethnicities,Male,19,14.2,"133,708"
HIV diagnoses,2018,West Virginia,54,55+,All races/ethnicities,Female,1,0.3,"329,035"
HIV diagnoses,2018,West Virginia,54,45-54,All races/ethnicities,Female,7,6,"117,013"
HIV diagnoses,2018,West Virginia,54,35-44,All races/ethnicities,Female,10,9.3,"107,817"
HIV diagnoses,2018,West Virginia,54,25-34,All races/ethnicities,Female,6,5.7,"104,803"
HIV diagnoses,2018,West Virginia,54,13-24,All races/ethnicities,Female,1,0.8,"126,551"
HIV diagnoses,2018,West Virginia,54,55+,All races/ethnicities,Male,2,0.7,"289,140"
HIV diagnoses,2018,West Virginia,54,45-54,All races/ethnicities,Male,8,6.8,"117,445"
HIV diagnoses,2018,West Virginia,54,35-44,All races/ethnicities,Male,16,14.7,"108,847"
HIV diagnoses,2018,West Virginia,54,25-34,All races/ethnicities,Male,28,25.3,"110,617"
HIV diagnoses,2018,West Virginia,54,13-24,All races/ethnicities,Male,14,10.4,"134,781"
Gonorrhea,2021,Wisconsin,55,55+,All races/ethnicities,Female,38,3.9,"980,235"
Gonorrhea,2021,Wisconsin,55,45-54,All races/ethnicities,Female,119,34.5,"344,491"
Gonorrhea,2021,Wisconsin,55,35-44,All races/ethnicities,Female,493,134.8,"365,841"
Gonorrhea,2021,Wisconsin,55,25-34,All races/ethnicities,Female,"1,537",427.8,"359,261"
Gonorrhea,2021,Wisconsin,55,13-24,All races/ethnicities,Female,"2,796",608.4,"459,541"
Gonorrhea,2021,Wisconsin,55,55+,All races/ethnicities,Male,228,25.1,"906,579"
Gonorrhea,2021,Wisconsin,55,45-54,All races/ethnicities,Male,356,99.8,"356,671"
Gonorrhea,2021,Wisconsin,55,35-44,All races/ethnicities,Male,801,210.8,"380,041"
Gonorrhea,2021,Wisconsin,55,25-34,All races/ethnicities,Male,"1,900",502.3,"378,296"
Gonorrhea,2021,Wisconsin,55,13-24,All races/ethnicities,Male,"2,155",450.7,"478,110"
Gonorrhea,2020 (COVID-19 Pandemic),Wisconsin,55,55+,All races/ethnicities,Female,31,3.2,"969,304"
Gonorrhea,2020 (COVID-19 Pandemic),Wisconsin,55,45-54,All races/ethnicities,Female,94,26.8,"351,213"
Gonorrhea,2020 (COVID-19 Pandemic),Wisconsin,55,35-44,All races/ethnicities,Female,452,124.9,"361,847"
Gonorrhea,2020 (COVID-19 Pandemic),Wisconsin,55,25-34,All races/ethnicities,Female,"1,616",449,"359,935"
Gonorrhea,2020 (COVID-19 Pandemic),Wisconsin,55,13-24,All races/ethnicities,Female,"2,713",592.8,"457,649"
Gonorrhea,2020 (COVID-19 Pandemic),Wisconsin,55,55+,All races/ethnicities,Male,188,21,"895,860"
Gonorrhea,2020 (COVID-19 Pandemic),Wisconsin,55,45-54,All races/ethnicities,Male,338,93.1,"363,205"
