"Date Printed: Friday, January 14, 2022 2:53:39 PM"
Title: Congenital Syphilis | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | All age groups

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Congenital Syphilis","2007","Colorado","08","All age groups","All races/ethnicities","Both sexes","2","2.8","NA"
"Congenital Syphilis","2006","Colorado","08","All age groups","All races/ethnicities","Both sexes","2","2.8","NA"
"Congenital Syphilis","2005","Colorado","08","All age groups","All races/ethnicities","Both sexes","1","1.5","NA"
"Congenital Syphilis","2004","Colorado","08","All age groups","All races/ethnicities","Both sexes","2","2.9","NA"
"Congenital Syphilis","2003","Colorado","08","All age groups","All races/ethnicities","Both sexes","3","4.3","NA"
"Congenital Syphilis","2002","Colorado","08","All age groups","All races/ethnicities","Both sexes","2","2.9","NA"
"Congenital Syphilis","2001","Colorado","08","All age groups","All races/ethnicities","Both sexes","1","1.5","NA"
"Congenital Syphilis","2000","Colorado","08","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2019","Connecticut","09","All age groups","All races/ethnicities","Both sexes","3","8.8","NA"
"Congenital Syphilis","2018","Connecticut","09","All age groups","All races/ethnicities","Both sexes","2","5.8","NA"
"Congenital Syphilis","2017","Connecticut","09","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2016","Connecticut","09","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2015","Connecticut","09","All age groups","All races/ethnicities","Both sexes","1","2.8","NA"
"Congenital Syphilis","2014","Connecticut","09","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2013","Connecticut","09","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2012","Connecticut","09","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2011","Connecticut","09","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2010","Connecticut","09","All age groups","All races/ethnicities","Both sexes","2","5.3","NA"
"Congenital Syphilis","2009","Connecticut","09","All age groups","All races/ethnicities","Both sexes","2","5.1","NA"
"Congenital Syphilis","2008","Connecticut","09","All age groups","All races/ethnicities","Both sexes","2","5.0","NA"
"Congenital Syphilis","2007","Connecticut","09","All age groups","All races/ethnicities","Both sexes","2","4.8","NA"
"Congenital Syphilis","2006","Connecticut","09","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2005","Connecticut","09","All age groups","All races/ethnicities","Both sexes","1","2.4","NA"
"Congenital Syphilis","2004","Connecticut","09","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2003","Connecticut","09","All age groups","All races/ethnicities","Both sexes","1","2.3","NA"
"Congenital Syphilis","2002","Connecticut","09","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2001","Connecticut","09","All age groups","All races/ethnicities","Both sexes","2","4.7","NA"
"Congenital Syphilis","2000","Connecticut","09","All age groups","All races/ethnicities","Both sexes","1","2.3","NA"
"Congenital Syphilis","2019","Delaware","10","All age groups","All races/ethnicities","Both sexes","2","18.9","NA"
"Congenital Syphilis","2018","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2017","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2016","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2015","Delaware","10","All age groups","All races/ethnicities","Both sexes","1","9.0","NA"
"Congenital Syphilis","2014","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2013","Delaware","10","All age groups","All races/ethnicities","Both sexes","1","9.2","NA"
"Congenital Syphilis","2012","Delaware","10","All age groups","All races/ethnicities","Both sexes","1","9.1","NA"
"Congenital Syphilis","2011","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2010","Delaware","10","All age groups","All races/ethnicities","Both sexes","2","17.6","NA"
"Congenital Syphilis","2009","Delaware","10","All age groups","All races/ethnicities","Both sexes","1","8.7","NA"
"Congenital Syphilis","2008","Delaware","10","All age groups","All races/ethnicities","Both sexes","1","8.3","NA"
"Congenital Syphilis","2007","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2006","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2005","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2004","Delaware","10","All age groups","All races/ethnicities","Both sexes","1","8.8","NA"
"Congenital Syphilis","2003","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2002","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2001","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2000","Delaware","10","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2019","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","1","11.0","NA"
"Congenital Syphilis","2018","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","1","10.9","NA"
"Congenital Syphilis","2017","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2016","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","1","10.1","NA"
"Congenital Syphilis","2015","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","1","10.4","NA"
"Congenital Syphilis","2014","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2013","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","2","21.5","NA"
"Congenital Syphilis","2012","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2011","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","1","10.8","NA"
"Congenital Syphilis","2010","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","1","10.9","NA"
"Congenital Syphilis","2009","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2008","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2007","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","1","11.3","NA"
"Congenital Syphilis","2006","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","1","11.7","NA"
"Congenital Syphilis","2005","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2004","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","1","12.6","NA"
"Congenital Syphilis","2003","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","1","13.1","NA"
"Congenital Syphilis","2002","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","1","13.3","NA"
"Congenital Syphilis","2001","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","2","26.2","NA"
"Congenital Syphilis","2000","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","4","52.2","NA"
"Congenital Syphilis","2019","Florida","12","All age groups","All races/ethnicities","Both sexes","145","65.9","NA"
"Congenital Syphilis","2018","Florida","12","All age groups","All races/ethnicities","Both sexes","109","49.2","NA"
"Congenital Syphilis","2017","Florida","12","All age groups","All races/ethnicities","Both sexes","99","44.3","NA"
"Congenital Syphilis","2016","Florida","12","All age groups","All races/ethnicities","Both sexes","61","27.1","NA"
